Date,SKU,Warehouse,Product_Category,Demand_Units,Open,Promo,StateHoliday,SchoolHoliday,Petrol_price
2016-01-03,Product_0033,Whse_S,Category_005,16000,1,0,0,0,91
2016-01-03,Product_1825,Whse_S,Category_006,50000,1,0,0,0,85
2016-01-03,Product_0551,Whse_S,Category_030,3000,1,0,0,0,85
2016-01-03,Product_0556,Whse_S,Category_030,1000,1,0,0,0,93
2016-01-03,Product_1844,Whse_A,Category_018,7,1,0,0,0,95
2016-01-03,Product_0470,Whse_S,Category_005,2000,1,0,0,0,80
2016-01-03,Product_0643,Whse_A,Category_028,2,1,0,0,0,85
2016-01-03,Product_0650,Whse_A,Category_022,300,1,0,0,0,88
2016-01-03,Product_1429,Whse_S,Category_019,3000,1,0,0,0,95
2016-01-03,Product_0982,Whse_A,Category_028,5000,1,0,0,0,92
2016-01-03,Product_0951,Whse_A,Category_018,20,1,0,0,0,81
2016-01-03,Product_1263,Whse_S,Category_019,15000,1,0,0,0,85
2016-01-03,Product_1387,Whse_S,Category_019,100,1,0,0,0,91
2016-01-03,Product_1751,Whse_A,Category_001,10,1,0,0,0,90
2016-01-04,Product_2052,Whse_A,Category_021,16,1,0,0,0,94
2016-01-04,Product_1509,Whse_A,Category_019,400,1,0,0,0,96
2016-01-04,Product_1101,Whse_C,Category_032,10000,1,0,0,0,89
2016-01-04,Product_0946,Whse_A,Category_018,1,1,0,0,0,95
2016-01-04,Product_0439,Whse_C,Category_012,40,1,0,0,0,84
2016-01-04,Product_1384,Whse_A,Category_019,0,1,0,0,0,89
2016-01-04,Product_1970,Whse_C,Category_005,1000,1,0,0,0,89
2016-01-04,Product_1970,Whse_C,Category_005,10000,1,0,0,0,95
2016-01-04,Product_1276,Whse_A,Category_019,0,1,0,0,0,92
2016-01-04,Product_1276,Whse_A,Category_019,1800,1,0,0,0,92
2016-01-04,Product_0987,Whse_A,Category_028,0,1,0,0,0,83
2016-01-04,Product_0070,Whse_S,Category_019,10000,1,0,0,0,94
