SKU,Product_Category,Unit_Cost,Lead_Time_Days,Ordering_Cost,Holding_Cost_Per_Unit_Year
Product_1359,Category_019,0.61,4,2951,375.96
Product_0083,Category_019,1.15,14,2644,435.32
Product_1248,Category_019,1.1,7,1206,437.39
Product_1295,Category_019,2.0,4,2220,430.33
Product_1432,Category_019,2.36,2,4024,324.65
Product_1241,Category_019,2.43,4,3239,324.66
Product_1286,Category_019,2.46,5,4174,272.16
Product_1287,Category_019,2.65,11,3356,326.46
Product_1451,Category_019,2.89,14,1546,351.61
Product_1274,Category_019,3.14,4,1952,237.42
Product_1378,Category_019,3.12,6,3473,260.14
Product_1382,Category_019,2.91,10,1019,229.22
Product_1245,Category_019,2.81,14,3398,245.67
Product_1480,Category_019,2.92,12,3313,425.67
Product_1341,Category_019,3.29,14,3651,414.32
Product_1264,Category_019,3.56,6,5624,434.62
Product_1294,Category_019,3.32,8,881,423.86
Product_1263,Category_019,3.66,12,4378,264.27
Product_1453,Category_019,3.6,5,5043,404.32
Product_1350,Category_019,3.58,5,5665,441.41
Product_1016,Category_007,4.16,8,2671,333.12
Product_1342,Category_019,4.26,8,4559,341.73
Product_1360,Category_019,4.0,11,3742,327.33
Product_1570,Category_019,4.55,6,2581,257.15
Product_1377,Category_019,4.63,4,4142,374.01
Product_1502,Category_019,5.91,4,2022,425.71
Product_1157,Category_006,4.54,6,3782,374.89
Product_1152,Category_006,5.58,7,3629,356.05
Product_0033,Category_005,6.37,6,939,320.16
Product_1403,Category_019,6.75,9,3106,403.0
Product_1394,Category_019,7.87,2,3550,386.32
Product_1278,Category_019,7.41,9,921,341.64
Product_1574,Category_019,7.49,3,3388,243.0
Product_1361,Category_033,9.21,9,3244,289.77
Product_1267,Category_019,8.42,7,3544,370.34
Product_1166,Category_006,8.9,11,3270,318.75
Product_1431,Category_019,8.32,4,1660,240.47
Product_1526,Category_019,8.89,8,2858,446.18
Product_1470,Category_019,9.25,8,5216,254.98
Product_1554,Category_019,10.12,11,1522,386.9
Product_1825,Category_006,9.78,5,4459,372.46
Product_1356,Category_019,9.55,4,4028,443.6
Product_1381,Category_019,9.33,11,3962,258.31
Product_1393,Category_019,10.74,11,2273,297.98
Product_1456,Category_019,10.6,9,4530,365.11
Product_1234,Category_019,11.66,5,5687,434.81
Product_1452,Category_019,12.46,11,903,313.08
