Supplier_ID,SKU,Lead_Time_Days,Supplier_Reliability,MOQ
SUP_0001,Product_1359,4,99.0,9637
SUP_0002,Product_0083,14,67.54,9336
SUP_0003,Product_1248,7,79.29,9755
SUP_0004,Product_1295,4,79.42,5564
SUP_0005,Product_1432,2,59.21,3877
SUP_0006,Product_1241,4,77.72,3691
SUP_0007,Product_1286,5,75.78,3914
SUP_0008,Product_1287,11,81.91,10084
SUP_0009,Product_1451,14,41.25,11638
SUP_0010,Product_1274,4,96.61,8473
SUP_0011,Product_1378,6,89.0,2382
SUP_0012,Product_1382,10,89.29,6938
SUP_0013,Product_1245,14,60.76,22029
SUP_0014,Product_1480,12,44.27,4057
SUP_0015,Product_1341,14,68.17,3980
SUP_0016,Product_1264,6,54.26,1620
SUP_0017,Product_1294,8,99.0,5130
SUP_0018,Product_1263,12,65.46,7296
SUP_0019,Product_1453,5,74.84,6271
SUP_0020,Product_1350,5,68.25,4282
SUP_0021,Product_1016,8,65.18,6397
SUP_0022,Product_1342,8,82.94,2724
SUP_0023,Product_1360,11,93.53,4761
SUP_0024,Product_1570,6,31.63,15303
SUP_0025,Product_1377,4,49.14,4409
SUP_0026,Product_1502,4,59.72,6261
SUP_0027,Product_1157,6,52.79,2807
SUP_0028,Product_1152,7,33.59,3023
SUP_0029,Product_0033,6,77.77,2453
SUP_0030,Product_1403,9,84.91,1749
SUP_0031,Product_1394,2,64.42,1986
SUP_0032,Product_1278,9,67.22,2915
SUP_0033,Product_1574,3,99.0,1619
SUP_0034,Product_1361,9,45.89,8984
SUP_0035,Product_1267,7,52.27,10498
SUP_0036,Product_1166,11,23.59,10844
SUP_0037,Product_1431,4,86.12,14067
SUP_0038,Product_1526,8,47.36,1537
SUP_0039,Product_1470,8,59.95,4433
SUP_0040,Product_1554,11,99.0,3637
SUP_0041,Product_1825,5,99.0,1636
SUP_0042,Product_1356,4,93.51,6202
SUP_0043,Product_1381,11,76.23,1387
SUP_0044,Product_1393,11,47.64,6482
SUP_0045,Product_1456,9,78.74,2632
SUP_0046,Product_1234,5,71.73,2590
SUP_0047,Product_1452,11,94.53,3004
SUP_0048,Product_1242,6,99.0,1720
SUP_0049,Product_1410,11,30.49,3639
SUP_0050,Product_0094,7,91.35,1701
SUP_0051,Product_1250,8,99.0,6451
SUP_0052,Product_1281,7,60.18,3403
SUP_0053,Product_1970,2,55.01,3919
SUP_0054,Product_1355,13,65.1,2222
SUP_0055,Product_0931,6,28.56,3406
SUP_0056,Product_1158,9,41.2,3897
SUP_0057,Product_1886,6,31.04,1235
SUP_0058,Product_1555,10,82.35,5713
SUP_0059,Product_1839,5,53.86,1054
SUP_0060,Product_1496,7,87.73,2341
SUP_0061,Product_1316,3,70.05,1577
SUP_0062,Product_0066,3,88.62,2041
SUP_0063,Product_1396,7,77.7,2668
SUP_0064,Product_1439,2,82.21,1356
SUP_0065,Product_1149,5,43.55,1152
SUP_0066,Product_0071,10,72.18,9719
SUP_0067,Product_1159,4,32.61,8499
SUP_0068,Product_1150,9,45.88,4092
SUP_0069,Product_0936,11,31.05,1448
SUP_0070,Product_0064,12,75.37,2709
SUP_0071,Product_1521,8,45.08,3559
SUP_0072,Product_1156,8,70.23,4976
SUP_0073,Product_1520,6,99.0,921
SUP_0074,Product_1290,14,64.22,3701
SUP_0075,Product_0933,10,57.06,4808
SUP_0076,Product_1262,12,83.61,3150
SUP_0077,Product_0084,7,50.89,3486
SUP_0078,Product_1512,6,99.0,1103
SUP_0079,Product_1407,6,96.63,1733
SUP_0080,Product_1513,10,75.17,7118
SUP_0081,Product_1018,6,49.84,3010
SUP_0082,Product_1282,12,59.2,2761
SUP_0083,Product_1375,3,77.16,797
SUP_0084,Product_1279,5,94.66,1497
SUP_0085,Product_1216,11,74.98,7726
SUP_0086,Product_1430,13,55.22,2464
SUP_0087,Product_1904,10,78.17,2738
SUP_0088,Product_1315,12,68.51,2159
SUP_0089,Product_1233,5,92.69,3666
SUP_0090,Product_0082,5,88.42,8758
SUP_0091,Product_0063,7,46.14,1540
SUP_0092,Product_1581,6,71.98,3899
SUP_0093,Product_1479,4,99.0,2128
SUP_0094,Product_1269,13,53.46,2976
SUP_0095,Product_1299,6,76.28,2059
SUP_0096,Product_1450,3,75.84,1971
SUP_0097,Product_0070,2,78.24,1197
SUP_0098,Product_0982,11,51.92,3124
SUP_0099,Product_1463,11,57.27,915
SUP_0100,Product_1508,2,55.74,1012
SUP_0101,Product_1388,14,99.0,4359
SUP_0102,Product_1465,8,76.52,2179
SUP_0103,Product_1151,9,3.96,1713
SUP_0104,Product_1823,8,23.53,1587
SUP_0105,Product_1135,9,64.07,3527
SUP_0106,Product_1246,7,97.9,4611
SUP_0107,Product_1817,11,62.01,1252
SUP_0108,Product_1237,3,67.08,2875
SUP_0109,Product_1435,13,46.94,1074
SUP_0110,Product_1048,6,75.25,738
SUP_0111,Product_1312,2,70.07,949
SUP_0112,Product_1165,11,56.89,1184
SUP_0113,Product_1023,8,6.31,1771
SUP_0114,Product_0985,3,59.55,1162
SUP_0115,Product_1195,13,85.59,1587
SUP_0116,Product_1348,12,80.77,1554
SUP_0117,Product_0096,13,77.14,1609
SUP_0118,Product_1270,13,64.58,894
SUP_0119,Product_1624,10,99.0,3206
SUP_0120,Product_0979,3,78.18,2147
SUP_0121,Product_1224,6,99.0,2708
SUP_0122,Product_1567,5,74.57,1859
SUP_0123,Product_0021,6,81.47,824
SUP_0124,Product_1418,7,93.13,879
SUP_0125,Product_1787,4,31.88,894
SUP_0126,Product_0990,9,49.13,833
SUP_0127,Product_0002,2,67.66,2061
SUP_0128,Product_1483,6,63.85,2369
SUP_0129,Product_0098,5,99.0,865
SUP_0130,Product_1548,10,53.9,2693
SUP_0131,Product_0031,9,77.27,5058
SUP_0132,Product_0077,8,65.71,631
SUP_0133,Product_2042,5,34.56,691
SUP_0134,Product_1222,8,66.48,917
SUP_0135,Product_1047,6,21.51,2514
SUP_0136,Product_1766,14,76.15,1677
SUP_0137,Product_1153,5,99.0,2085
SUP_0138,Product_0072,12,99.0,2603
SUP_0139,Product_1162,8,89.46,1370
SUP_0140,Product_0073,11,79.69,2146
SUP_0141,Product_0424,4,82.18,3247
SUP_0142,Product_1354,4,89.85,920
SUP_0143,Product_1812,10,52.4,1867
SUP_0144,Product_2034,11,39.88,1078
SUP_0145,Product_1493,4,80.07,4206
SUP_0146,Product_1402,3,59.5,653
SUP_0147,Product_0829,7,82.91,947
SUP_0148,Product_0998,11,64.15,1921
SUP_0149,Product_0943,10,51.81,692
SUP_0150,Product_0089,8,76.15,1301
SUP_0151,Product_1556,13,23.12,2303
SUP_0152,Product_1397,11,79.89,3793
SUP_0153,Product_1399,14,79.2,1023
SUP_0154,Product_1788,2,27.46,1736
SUP_0155,Product_1363,10,86.36,2847
SUP_0156,Product_1349,14,73.33,1129
SUP_0157,Product_1458,13,42.35,1720
SUP_0158,Product_0374,4,67.62,6239
SUP_0159,Product_1163,12,75.43,958
SUP_0160,Product_1387,9,74.81,1071
SUP_0161,Product_1256,10,93.47,749
SUP_0162,Product_0093,13,56.49,1760
SUP_0163,Product_0016,6,93.4,1392
SUP_0164,Product_1380,4,72.08,1291
SUP_0165,Product_1991,6,67.34,523
SUP_0166,Product_1374,3,92.81,1316
SUP_0167,Product_1314,8,79.82,601
SUP_0168,Product_2043,10,53.52,464
SUP_0169,Product_1372,3,99.0,695
SUP_0170,Product_1134,7,73.06,1383
SUP_0171,Product_1154,7,42.23,1879
SUP_0172,Product_1455,10,61.12,693
SUP_0173,Product_1392,12,90.16,1521
SUP_0174,Product_1466,5,66.46,794
SUP_0175,Product_0065,2,62.44,878
SUP_0176,Product_1469,12,60.33,616
SUP_0177,Product_1818,3,65.93,1482
SUP_0178,Product_0012,5,96.39,1382
SUP_0179,Product_0981,5,61.21,1230
SUP_0180,Product_1969,13,82.84,3816
SUP_0181,Product_1573,2,77.37,627
SUP_0182,Product_1438,7,97.77,354
SUP_0183,Product_1459,14,98.69,2491
SUP_0184,Product_0109,8,45.57,2435
SUP_0185,Product_1637,3,80.39,1245
SUP_0186,Product_0202,9,56.35,2727
SUP_0187,Product_0108,7,75.04,1511
SUP_0188,Product_1243,8,75.41,1398
SUP_0189,Product_1247,2,99.0,1490
SUP_0190,Product_0837,5,71.14,826
SUP_0191,Product_1464,2,81.25,824
SUP_0192,Product_1198,8,60.38,1418
SUP_0193,Product_1273,5,88.62,1029
SUP_0194,Product_1429,4,61.08,1062
SUP_0195,Product_0079,6,74.43,1114
SUP_0196,Product_2015,7,77.4,817
SUP_0197,Product_1523,5,71.09,1003
SUP_0198,Product_1309,2,81.63,2090
SUP_0199,Product_0018,7,39.72,2030
SUP_0200,Product_1376,10,99.0,2085
SUP_0201,Product_1268,8,70.23,1651
SUP_0202,Product_0932,2,36.14,503
SUP_0203,Product_1239,13,57.23,1018
SUP_0204,Product_1461,14,51.0,2248
SUP_0205,Product_1164,12,42.59,922
SUP_0206,Product_1101,13,43.93,257
SUP_0207,Product_1997,9,99.0,656
SUP_0208,Product_1147,7,99.0,1083
SUP_0209,Product_1437,11,98.7,645
SUP_0210,Product_0387,9,73.18,826
SUP_0211,Product_1571,8,65.03,1736
SUP_0212,Product_0980,12,55.63,1431
SUP_0213,Product_1404,8,88.98,1432
SUP_0214,Product_0677,11,52.9,1027
SUP_0215,Product_1478,8,75.94,1890
SUP_0216,Product_2044,5,59.87,891
SUP_0217,Product_1244,8,94.02,921
SUP_0218,Product_1357,2,94.25,1236
SUP_0219,Product_1347,12,91.03,1343
SUP_0220,Product_1398,4,48.03,1555
SUP_0221,Product_1826,11,70.15,1671
SUP_0222,Product_0984,8,25.88,866
SUP_0223,Product_1288,3,48.52,475
SUP_0224,Product_0930,14,38.32,1492
SUP_0225,Product_1824,5,92.77,517
SUP_0226,Product_1253,12,38.63,2927
SUP_0227,Product_0941,9,74.24,1646
SUP_0228,Product_1419,9,84.2,1680
SUP_0229,Product_2004,4,55.9,3402
SUP_0230,Product_1835,6,64.63,1028
SUP_0231,Product_1344,3,66.05,2723
SUP_0232,Product_0556,6,95.26,857
SUP_0233,Product_1460,14,80.81,1183
SUP_0234,Product_1485,14,76.12,1193
SUP_0235,Product_1424,10,69.87,1020
SUP_0236,Product_0085,13,65.6,3607
