Warehouse,SKU,Current_Stock,Reserved_Stock
Whse_A,Product_0001,3363775,2066
Whse_A,Product_0020,329512,1771
Whse_A,Product_0031,132934,3287
Whse_A,Product_0075,413449,6
Whse_A,Product_0078,4939,4851
Whse_A,Product_0081,5341,5326
Whse_A,Product_0091,1443,1424
Whse_A,Product_0097,3522,3511
Whse_A,Product_0119,126,84
Whse_A,Product_0120,383,354
Whse_A,Product_0121,448,437
Whse_A,Product_0122,637,611
Whse_A,Product_0123,965,934
Whse_A,Product_0125,25,7
Whse_A,Product_0130,352,337
Whse_A,Product_0131,131,113
Whse_A,Product_0132,244,229
Whse_A,Product_0133,75,37
Whse_A,Product_0134,167,145
Whse_A,Product_0135,44,33
Whse_A,Product_0136,42,11
Whse_A,Product_0137,63,41
Whse_A,Product_0140,626,615
Whse_A,Product_0148,32,8
Whse_A,Product_0149,32,14
Whse_A,Product_0150,27,12
Whse_A,Product_0151,106,84
Whse_A,Product_0168,130,54
Whse_A,Product_0169,63,45
Whse_A,Product_0172,48,36
Whse_A,Product_0189,251,246
Whse_A,Product_0190,390,367
Whse_A,Product_0191,4961,4960
Whse_A,Product_0193,5588,5559
Whse_A,Product_0200,1436,1432
Whse_A,Product_0201,1251,1230
Whse_A,Product_0202,8023,7903
Whse_A,Product_0203,1322,1297
Whse_A,Product_0204,1578,1555
Whse_A,Product_0205,147,133
Whse_A,Product_0206,2453,2436
Whse_A,Product_0207,2539,2526
Whse_A,Product_0208,508,486
Whse_A,Product_0209,4197,4193
Whse_A,Product_0210,312,310
Whse_A,Product_0211,512,512
Whse_A,Product_0212,2196,2159
Whse_A,Product_0213,1308,1266
Whse_A,Product_0225,1175,1171
Whse_A,Product_0226,1827,1818
Whse_A,Product_0228,483,473
Whse_A,Product_0230,902,891
Whse_A,Product_0231,686,645
Whse_A,Product_0232,41,10
Whse_A,Product_0243,633,557
Whse_A,Product_0245,771,666
Whse_A,Product_0246,777,777
Whse_A,Product_0247,96,94
Whse_A,Product_0249,215,166
Whse_A,Product_0250,1692,1676
Whse_A,Product_0272,208,145
Whse_A,Product_0273,309,284
Whse_A,Product_0274,456,383
Whse_A,Product_0287,702,698
Whse_A,Product_0288,1740,1731
Whse_A,Product_0293,92,69
Whse_A,Product_0294,254,213
Whse_A,Product_0295,94,92
Whse_A,Product_0300,363,298
Whse_A,Product_0301,258,254
Whse_A,Product_0302,93,93
Whse_A,Product_0304,220,205
Whse_A,Product_0308,387,369
Whse_A,Product_0311,205,203
Whse_A,Product_0318,106,35
Whse_A,Product_0319,43,8
Whse_A,Product_0320,636,623
Whse_A,Product_0321,1153,1145
Whse_A,Product_0325,95,41
Whse_A,Product_0326,68,21
Whse_A,Product_0329,20,19
Whse_A,Product_0330,90,81
Whse_A,Product_0333,144,89
Whse_A,Product_0337,100,44
Whse_A,Product_0342,71,37
Whse_A,Product_0347,73,13
Whse_A,Product_0349,275,258
Whse_A,Product_0352,45,45
Whse_A,Product_0353,125,80
Whse_A,Product_0364,57,37
Whse_A,Product_0365,66,13
Whse_A,Product_0394,80,50
Whse_A,Product_0395,46,15
Whse_A,Product_0412,73,72
Whse_A,Product_0413,7626,7572
Whse_A,Product_0414,2381,2377
Whse_A,Product_0415,13294,13286
Whse_A,Product_0416,1727,1683
Whse_A,Product_0417,4948,4917
Whse_A,Product_0418,16877,16839
Whse_A,Product_0419,7513,7505
Whse_A,Product_0420,46598,46548
Whse_A,Product_0421,2538,2514
Whse_A,Product_0422,8721,8710
Whse_A,Product_0423,611,585
Whse_A,Product_0424,68068,68029
Whse_A,Product_0425,2831,2797
Whse_A,Product_0426,1419,1392
Whse_A,Product_0427,17763,17704
Whse_A,Product_0428,1719,1704
Whse_A,Product_0432,42,16
Whse_A,Product_0436,433,425
Whse_A,Product_0437,924,239
Whse_A,Product_0442,31,13
Whse_A,Product_0453,150,110
Whse_A,Product_0454,69,48
Whse_A,Product_0456,49,8
Whse_A,Product_0458,164,139
Whse_A,Product_0460,260,22
Whse_A,Product_0463,249,234
Whse_A,Product_0465,55,14
Whse_A,Product_0466,64,43
Whse_A,Product_0467,194,3
Whse_A,Product_0471,51,45
Whse_A,Product_0474,24,23
Whse_A,Product_0484,294,278
Whse_A,Product_0486,211,194
Whse_A,Product_0487,81,27
Whse_A,Product_0495,94,61
Whse_A,Product_0496,78,53
Whse_A,Product_0505,177,73
Whse_A,Product_0506,7861,7809
Whse_A,Product_0507,86,36
Whse_A,Product_0512,410,361
Whse_A,Product_0516,134,125
Whse_A,Product_0533,57,52
Whse_A,Product_0544,56,31
Whse_A,Product_0547,118,98
Whse_A,Product_0548,137,63
Whse_A,Product_0565,112,19
Whse_A,Product_0567,91,74
Whse_A,Product_0599,467,467
Whse_A,Product_0634,77,48
Whse_A,Product_0635,2728,2688
Whse_A,Product_0636,380,365
Whse_A,Product_0637,46,3
Whse_A,Product_0638,40,6
Whse_A,Product_0639,48,13
Whse_A,Product_0642,56,36
Whse_A,Product_0643,17,6
Whse_A,Product_0646,703,519
Whse_A,Product_0647,35,21
Whse_A,Product_0650,579,558
Whse_A,Product_0825,17,7
Whse_A,Product_0899,1848,1790
Whse_A,Product_0905,854,795
Whse_A,Product_0935,7838,7734
Whse_A,Product_0936,71710,71689
Whse_A,Product_0937,11532,11505
Whse_A,Product_0944,88,3
Whse_A,Product_0945,233,5
Whse_A,Product_0946,71,11
Whse_A,Product_0951,76,51
Whse_A,Product_0965,32,7
Whse_A,Product_0966,179,82
Whse_A,Product_0967,187,60
Whse_A,Product_0973,2445,2416
Whse_A,Product_0976,2170,2107
Whse_A,Product_0977,868,861
Whse_A,Product_0979,6606,6561
Whse_A,Product_0980,21628,21627
