SKU,Annual_Demand,Unit_Cost,Annual_Consumption_Value,ABC_Category
Product_1359,56131008.49790945,0.61,34239915.18372476,A
Product_0083,29638746.773106664,1.15,34084558.78907266,A
Product_1451,11742165.57469688,2.89,33934858.51087398,A
Product_1480,11611219.457364557,2.92,33904760.815504506,A
Product_1248,30809329.17374824,1.1,33890262.09112307,A
Product_1286,13759338.970264899,2.46,33847973.86685165,A
Product_1274,10765858.886569563,3.14,33804796.90382843,A
Product_1287,12743214.028135428,2.65,33769517.174558885,A
Product_1378,10816252.91099644,3.12,33746709.082308896,A
Product_1264,9464792.378298085,3.56,33694660.86674118,A
Product_1241,13860075.321015397,2.43,33679983.030067414,A
Product_1016,8091277.50789476,4.16,33659714.4328422,A
Product_1341,10215680.355927262,3.29,33609588.37100069,A
Product_1452,2690926.5028424114,12.46,33528944.225416448,A
Product_1166,3762219.4806252867,8.9,33483753.377565052,A
Product_1152,5994109.568480752,5.58,33447131.3921226,A
Product_1470,3607810.101911903,9.25,33372243.4426851,A
Product_1295,16682962.48493052,2.0,33365924.96986104,A
Product_1382,11457340.527530503,2.91,33340860.935113765,A
Product_1570,7325612.285456755,4.55,33331535.898828235,A
Product_1157,7325012.028927348,4.54,33255554.61133016,A
Product_1263,9077658.567848055,3.66,33224230.358323883,A
Product_0931,2602951.2561592422,12.76,33213658.02859193,A
Product_1520,1539241.52393473,21.55,33170654.840793435,A
Product_1278,4470218.301045088,7.41,33124317.610744104,A
Product_1403,4902434.373871731,6.75,33091432.02363418,A
Product_1360,8257923.445538782,4.0,33031693.782155126,A
Product_1355,2253746.963323821,14.65,33017393.012693975,A
Product_1245,11726152.807247123,2.81,32950489.388364416,A
Product_1817,1018841.7661081264,32.33,32939154.298275724,A
Product_1432,13945579.13918226,2.36,32911566.76847013,A
Product_1350,9190470.667077545,3.58,32901884.98813761,A
Product_1574,4381364.405738989,7.49,32816419.39898503,A
Product_1234,2811739.856480583,11.66,32784886.7265636,A
Product_1393,3051058.292119174,10.74,32768366.057359926,A
Product_1502,5540467.318507251,5.91,32744161.852377854,A
Product_0982,823667.7357920791,39.68,32683135.7562297,A
Product_1377,7055849.462509032,4.63,32668583.01141682,A
Product_1394,4141655.5736838155,7.87,32594829.36489163,A
Product_1361,3535541.9097177326,9.21,32562340.98850032,A
Product_1250,2298939.5119505064,14.15,32529994.094099667,A
Product_0071,1733380.8456406693,18.75,32500890.85576255,A
Product_1294,9778740.56825106,3.32,32465418.686593518,A
Product_1453,9007178.273764368,3.6,32425841.785551727,A
Product_1150,1853436.247280157,17.47,32379531.23998434,A
Product_0033,5076766.187544433,6.37,32339000.614658043,A
Product_0084,1640054.4806677343,19.7,32309073.269154366,A
Product_1158,1796390.944014729,17.97,32281145.263944678,A
Product_0933,1946413.0830158426,16.56,32232600.654742353,A
Product_1431,3871335.829553016,8.32,32209514.101881094,A
Product_1839,1787744.719410417,17.99,32161527.5021934,A
Product_0094,2087881.7202922925,15.39,32132499.67529838,A
Product_1430,1162976.5638443537,27.59,32086523.39646572,A
Product_1342,7528416.999090297,4.26,32071056.416124664,A
Product_1825,3273402.7631348204,9.78,32013879.02345854,A
Product_0936,1754953.9848611765,18.22,31975261.60417063,A
Product_1256,467254.8330989662,68.35,31936867.84231434,A
Product_1267,3790412.2578426753,8.42,31915271.211035326,A
Product_1281,2846762.296531679,11.19,31855270.098189488,A
Product_1262,1501034.0948922168,21.2,31821922.811714996,A
Product_1554,3139970.708877294,10.12,31776503.57383821,A
Product_1354,619021.2464639896,51.29,31749599.73113803,A
Product_1458,566765.1590152637,55.96,31716178.298494156,A
Product_1970,2260804.6047509992,14.01,31673872.5125615,A
Product_1290,1891206.9258709997,16.73,31639891.869821824,A
Product_1812,649568.5796469615,48.65,31601511.39982468,A
Product_0064,1716648.327785235,18.39,31569162.74797047,A
Product_1526,3548051.46746748,8.89,31542177.545785896,A
Product_0063,1417524.2333405884,22.22,31497388.464827873,A
Product_0837,466833.7796100177,67.38,31455260.07012299,A
Product_1233,952480.003239041,32.98,31412790.50682357,A
Product_1375,1534477.0885551416,20.45,31380056.460952643,A
Product_1496,1979690.5490239472,15.83,31338501.391049083,A
Product_1555,1738146.1925903265,18.01,31304012.928551782,A
Product_1269,1223903.3414261083,25.55,31270730.373437066,A
Product_1242,1783183.802381441,17.51,31223548.379699036,A
Product_1216,1480515.003518123,21.07,31194451.12412685,A
Product_1279,1383181.798058463,22.53,31163085.91025717,A
Product_1478,344457.42706205643,90.34,31118283.96078618,A
Product_0070,1167565.3939965994,26.62,31080590.788189474,A
Product_1539,178907.87541179414,173.53,31045883.620208636,A
Product_1463,1072931.3141973612,28.9,31007714.98030374,A
Product_1513,1528447.854225065,20.26,30966353.52659982,A
Product_1149,1863973.1263328241,16.6,30941953.897124883,A
Product_0093,520848.4242640292,59.32,30896728.52734221,A
Product_1465,1028571.4040032449,30.0,30857142.120097347,A
Product_1456,2908843.222154016,10.6,30833738.15483257,A
Product_1512,1520978.27323076,20.24,30784600.25019058,A
Product_1156,1641295.0424204336,18.73,30741456.144534722,A
Product_1466,381667.5638787311,80.46,30708972.189682703,A
Product_1479,1234488.890089821,24.85,30677048.918732055,A
Product_1788,560209.79661986,54.69,30637873.77714014,A
Product_1159,2013077.4436142487,15.2,30598777.14293658,A
Product_1048,1100397.9177680411,27.77,30558050.176418502,A
Product_1396,1908933.1439202037,15.99,30523840.971284058,A
Product_1316,1866253.6842697284,16.34,30494585.20096736,A
Product_1356,3188166.379393522,9.55,30446988.92320814,A
Product_0082,1282541.6743924029,23.71,30409063.099843875,A
Product_0073,580254.6759488961,52.35,30376332.28592471,A
Product_1886,2079564.652497044,14.59,30340848.279931873,A
Product_1397,604771.3551314294,50.1,30299044.892084613,A
Product_1439,1827674.8486538557,16.56,30266295.493707847,A
Product_1410,2493390.13632925,12.12,30219888.452310506,A
Product_1348,999903.6433592632,30.19,30187090.993016157,A
Product_1823,1104440.3477244726,27.3,30151221.492878105,A
Product_1018,1311796.036245791,22.96,30118836.992203362,A
Product_1312,799388.8339951411,37.63,30081001.823237162,A
Product_1435,1112860.1385354733,26.99,30036095.139072422,A
Product_0066,1849933.0956892485,16.22,30005914.81207961,A
Product_1787,791635.6350048718,37.85,29963408.784934398,A
Product_0979,798818.9540790248,37.47,29931746.20934106,A
Product_0089,626285.2901886676,47.73,29892596.900705103,A
Product_1548,562716.8865229926,53.05,29852130.830044758,A
Product_2043,564186.0530360593,52.85,29817232.902955733,A
Product_1624,908519.2111976239,32.78,29781259.74305811,A
Product_1282,1564764.452963497,19.01,29746172.25083608,A
Product_1162,743526.4110637407,39.95,29703880.121996444,A
Product_0031,684669.6448558479,43.33,29666735.71160389,A
Product_1508,981222.180970209,30.2,29632909.86530031,A
Product_0930,379455.91365909664,77.99,29593766.706272945,A
Product_1521,1611761.6720593353,18.34,29559709.06556821,A
Product_0096,810673.9577527881,36.41,29516638.801779013,A
Product_1000,257522.84637072077,114.48,29481215.452520113,A
Product_1904,1291523.9140535549,22.8,29446745.240421053,A
Product_0016,468441.945891853,62.78,29408785.363090534,A
Product_0943,589188.2443740665,49.85,29371033.982047215,A
Product_2027,105859.17338668293,277.1,29333576.945449844,A
Product_1224,648501.512683287,45.18,29299298.343030907,A
Product_1483,790608.3357409058,37.01,29260414.50577092,A
Product_1315,1188430.5745140286,24.59,29223507.827299964,A
Product_0424,632119.9674962348,46.17,29184978.899301164,A
