Warehouse,SKU,Current_Stock,Reserved_Stock,Safety_Stock,Reorder_Point,EOQ,Inventory_Status,Stock_Gap
Whse_C,Product_1245,970531,970501,3927966.0,8032120.0,18011.0,Critical,7061589.0
Whse_S,Product_1245,1116304,1014873,3927966.0,8032120.0,18011.0,Critical,6915816.0
Whse_C,Product_0083,334941,334722,1917728.0,3057680.0,18975.0,Critical,2722739.0
Whse_J,Product_0083,531046,529946,1917728.0,3057680.0,18975.0,Critical,2526634.0
Whse_S,Product_0083,585577,499528,1917728.0,3057680.0,18975.0,Critical,2472103.0
Whse_C,Product_1166,592063,591949,1199251.0,2288315.0,8786.0,Critical,1696252.0
Whse_C,Product_1480,149597,149330,1300974.0,1795069.0,13444.0,Critical,1645472.0
Whse_J,Product_1480,177427,167994,1300974.0,1795069.0,13444.0,Critical,1617642.0
Whse_S,Product_1480,316407,165147,1300974.0,1795069.0,13444.0,Critical,1478662.0
Whse_C,Product_1263,192258,192223,967615.0,1579592.0,17343.0,Critical,1387334.0
Whse_J,Product_1152,658388,654424,1101785.0,1975926.0,11054.0,Critical,1317538.0
Whse_C,Product_1341,173329,173246,728603.0,1260275.0,13418.0,Critical,1086946.0
Whse_S,Product_1263,542594,380024,967615.0,1579592.0,17343.0,Critical,1036998.0
Whse_C,Product_1342,164180,163765,842758.0,1116519.0,14173.0,Critical,952339.0
Whse_S,Product_0077,271385,260377,536668.0,1164516.0,3769.0,Critical,893131.0
Whse_S,Product_1342,288945,163815,842758.0,1116519.0,14173.0,Critical,827574.0
Whse_J,Product_0073,232024,231682,673339.0,1027940.0,3843.0,Critical,795916.0
Whse_A,Product_0990,348446,348428,628493.0,958991.0,3154.0,Critical,610545.0
Whse_J,Product_1248,68823,68648,472932.0,676582.0,13035.0,Critical,607759.0
Whse_J,Product_1624,258028,257350,350896.0,855629.0,3445.0,Critical,597601.0
Whse_J,Product_1157,78804,73185,339181.0,634148.0,12158.0,Critical,555344.0
Whse_J,Product_1817,100515,89467,443013.0,605438.0,5293.0,Critical,504923.0
Whse_J,Product_1812,182627,148931,468922.0,685445.0,2721.0,Critical,502818.0
Whse_J,Product_1396,117556,104497,353843.0,584232.0,5450.0,Critical,466676.0
Whse_J,Product_1451,62044,60471,251834.0,505132.0,10162.0,Critical,443088.0
Whse_C,Product_1432,66881,66813,445071.0,502343.0,18594.0,Critical,435462.0
Whse_C,Product_1904,66903,66639,384876.0,502288.0,4945.0,Critical,435385.0
Whse_S,Product_0084,700963,549863,614169.0,1136005.0,5694.0,Critical,435042.0
Whse_J,Product_1570,77550,65457,327504.0,495909.0,12127.0,Critical,418359.0
Whse_S,Product_1341,847364,204249,728603.0,1260275.0,13418.0,Critical,412911.0
Whse_J,Product_1432,93478,83830,445071.0,502343.0,18594.0,Critical,408865.0
Whse_J,Product_0072,168479,168380,137132.0,551906.0,3272.0,Critical,383427.0
Whse_J,Product_1016,35868,34622,332309.0,414454.0,11391.0,Critical,378586.0
Whse_C,Product_1157,265251,265248,339181.0,634148.0,12158.0,Critical,368897.0
Whse_J,Product_1151,85114,84358,211403.0,450908.0,5077.0,Critical,365794.0
Whse_J,Product_1159,141333,138676,322500.0,505508.0,5971.0,Critical,364175.0
Whse_S,Product_1016,51372,31338,332309.0,414454.0,11391.0,Critical,363082.0
Whse_S,Product_1812,323792,115940,468922.0,685445.0,2721.0,Critical,361653.0
Whse_J,Product_1281,52378,49681,270870.0,412199.0,5610.0,Critical,359821.0
Whse_C,Product_1264,71692,71644,334800.0,430084.0,15651.0,Critical,358392.0
Whse_A,Product_1264,81909,81906,334800.0,430084.0,15651.0,Critical,348175.0
Whse_J,Product_1264,82636,74643,334800.0,430084.0,15651.0,Critical,347448.0
Whse_C,Product_1281,69920,69868,270870.0,412199.0,5610.0,Critical,342279.0
Whse_J,Product_1150,89558,82306,220502.0,423928.0,4573.0,Critical,334370.0
Whse_J,Product_1267,59072,56723,222010.0,388884.0,8518.0,Critical,329812.0
Whse_C,Product_1016,85902,85175,332309.0,414454.0,11391.0,Critical,328552.0
Whse_A,Product_1432,178755,178718,445071.0,502343.0,18594.0,Critical,323588.0
Whse_S,Product_1432,185727,100118,445071.0,502343.0,18594.0,Critical,316616.0
Whse_C,Product_1241,76065,75927,325586.0,392302.0,16630.0,Critical,316237.0
Whse_J,Product_1904,187778,98819,384876.0,502288.0,4945.0,Critical,314510.0
Whse_C,Product_1278,47037,46637,221315.0,360526.0,4910.0,Critical,313489.0
Whse_S,Product_1570,184857,174859,327504.0,495909.0,12127.0,Critical,311052.0
Whse_J,Product_1241,103323,102810,325586.0,392302.0,16630.0,Critical,288979.0
Whse_J,Product_1278,76364,73547,221315.0,360526.0,4910.0,Critical,284162.0
Whse_J,Product_1163,76887,76161,170782.0,360308.0,3603.0,Critical,283421.0
Whse_J,Product_1360,76554,69035,233261.0,356181.0,13741.0,Critical,279627.0
Whse_J,Product_1156,99065,95110,169466.0,371472.0,5110.0,Critical,272407.0
Whse_J,Product_1359,124187,123363,303777.0,391585.0,29685.0,Critical,267398.0
