SKU,Annual_Demand,Unit_Cost_x,Annual_Consumption_Value,ABC_Category,Avg_Daily_Demand,Demand_Std_Dev,Supplier_ID,Lead_Time_Days_x,Supplier_Reliability,MOQ,Z_Value,Safety_Stock,Reorder_Point,Product_Category,Unit_Cost_y,Lead_Time_Days_y,Ordering_Cost,Holding_Cost_Per_Unit_Year,EOQ,Supply_Risk,Profit_Impact,Supply_Risk_Score,Profit_Impact_Score,Kraljic_Category,Inventory_Policy
Product_1359,56131008.49790945,0.61,34239915.18372476,A,21951.90007739908,65188.0543624767,SUP_0001,4,99.0,9637,2.33,303777.0,391585.0,Category_019,0.61,4,2951,375.96,29685.0,1.0,34239915.18372476,0.0,1.0,Leverage,Bulk Procurement & Cost Negotiation
Product_0083,29638746.773106664,1.15,34084558.78907266,A,81425.12849754578,219971.7750676826,SUP_0002,14,67.54,9336,2.33,1917728.0,3057680.0,Category_019,1.15,14,2644,435.32,18975.0,32.459999999999994,34084558.78907266,0.3243298969072164,0.9954627108794374,Leverage,Bulk Procurement & Cost Negotiation
Product_1451,11742165.57469688,2.89,33934858.51087398,A,18092.705045757903,28886.460935507268,SUP_0009,14,41.25,11638,2.33,251834.0,505132.0,Category_019,2.89,14,1546,351.61,10162.0,58.75,33934858.51087398,0.595360824742268,0.9910906124850513,Strategic,Long-Term Supplier Partnership
Product_1480,11611219.457364557,2.92,33904760.815504506,A,41174.53708285304,161184.0236985625,SUP_0014,12,44.27,4057,2.33,1300974.0,1795069.0,Category_019,2.92,12,3313,425.67,13444.0,55.73,33904760.815504506,0.5642268041237113,0.9902115888307,Strategic,Long-Term Supplier Partnership
Product_1248,30809329.17374824,1.1,33890262.09112307,A,29092.85096671222,76717.36139384037,SUP_0003,7,79.29,9755,2.33,472932.0,676582.0,Category_019,1.1,7,1206,437.39,13035.0,20.709999999999994,33890262.09112307,0.20319587628865973,0.9897881437285833,Leverage,Bulk Procurement & Cost Negotiation
Product_1286,13759338.9702649,2.46,33847973.86685166,A,10192.102940936964,17288.09410749133,SUP_0007,5,75.78,3914,2.33,90072.0,141033.0,Category_019,2.46,5,4174,272.16,20544.0,24.22,33847973.86685166,0.23938144329896907,0.9885530873902572,Leverage,Bulk Procurement & Cost Negotiation
Product_1274,10765858.886569563,3.14,33804796.90382843,A,9787.144442335966,17586.58562113319,SUP_0010,4,96.61,8473,2.33,81954.0,121103.0,Category_019,3.14,4,1952,237.42,13306.0,3.3900000000000006,33804796.90382843,0.024639175257731967,0.9872920748324996,Leverage,Bulk Procurement & Cost Negotiation
Product_1287,12743214.02813543,2.65,33769517.174558885,A,10744.699855088895,16444.092456274986,SUP_0008,11,81.91,10084,2.33,127076.0,245268.0,Category_019,2.65,11,3356,326.46,16187.0,18.090000000000003,33769517.174558885,0.17618556701030932,0.9862617063552345,Leverage,Bulk Procurement & Cost Negotiation
Product_1378,10816252.910996443,3.12,33746709.0823089,A,6631.669473327065,9781.345251066243,SUP_0011,6,89.0,2382,2.33,55826.0,95617.0,Category_019,3.12,6,3473,260.14,16995.0,11.0,33746709.0823089,0.10309278350515463,0.985595580515623,Leverage,Bulk Procurement & Cost Negotiation
Product_1264,9464792.378298085,3.56,33694660.86674118,A,15880.524124661217,58661.59530636047,SUP_0016,6,54.26,1620,2.33,334800.0,430084.0,Category_019,3.56,6,5624,434.62,15651.0,45.74,33694660.86674118,0.46123711340206186,0.984075476996428,Leverage,Bulk Procurement & Cost Negotiation
Product_1241,13860075.321015397,2.43,33679983.030067414,A,16678.79100001853,69868.15910825667,SUP_0006,4,77.72,3691,2.33,325586.0,392302.0,Category_019,2.43,4,3239,324.66,16630.0,22.28,33679983.030067414,0.21938144329896908,0.9836468007980492,Leverage,Bulk Procurement & Cost Negotiation
Product_1016,8091277.50789476,4.16,33659714.4328422,A,10268.118664841066,50424.41482909088,SUP_0021,8,65.18,6397,2.33,332309.0,414454.0,Category_007,4.16,8,2671,333.12,11391.0,34.81999999999999,33659714.4328422,0.3486597938144329,0.9830548426370417,Leverage,Bulk Procurement & Cost Negotiation
Product_1341,10215680.355927264,3.29,33609588.3710007,A,37976.50689935786,83573.88242136447,SUP_0015,14,68.17,3980,2.33,728603.0,1260275.0,Category_019,3.29,14,3651,414.32,13418.0,31.83,33609588.3710007,0.3178350515463917,0.9815908769241439,Leverage,Bulk Procurement & Cost Negotiation
Product_1452,2690926.5028424114,12.46,33528944.225416448,A,3721.890045425189,5109.363619427429,SUP_0047,11,94.53,3004,2.33,39484.0,80425.0,Category_019,12.46,11,903,313.08,3940.0,5.469999999999999,33528944.225416448,0.046082474226804115,0.979235609828664,Leverage,Bulk Procurement & Cost Negotiation
Product_1166,3762219.4806252867,8.9,33483753.377565052,A,99005.7758059286,155187.76960592676,SUP_0036,11,23.59,10844,2.33,1199251.0,2288315.0,Category_006,8.9,11,3270,318.75,8786.0,76.41,33483753.377565052,0.7774226804123712,0.9779157803954159,Strategic,Long-Term Supplier Partnership
Product_1152,5994109.568480752,5.58,33447131.3921226,A,124877.28267668234,178727.6059475856,SUP_0028,7,33.59,3023,2.33,1101785.0,1975926.0,Category_006,5.58,7,3629,356.05,11054.0,66.41,33447131.3921226,0.6743298969072165,0.9768462104141252,Strategic,Long-Term Supplier Partnership
Product_1470,3607810.101911903,9.25,33372243.4426851,A,4219.6609379086585,21241.686380269664,SUP_0039,8,59.95,4433,2.33,139988.0,173746.0,Category_019,9.25,8,5216,254.98,12150.0,40.05,33372243.4426851,0.4025773195876288,0.9746590569403019,Leverage,Bulk Procurement & Cost Negotiation
Product_1295,16682962.484930525,2.0,33365924.96986105,A,10472.669482065616,15876.089714445849,SUP_0004,4,79.42,5564,2.33,73983.0,115874.0,Category_019,2.0,4,2220,430.33,13120.0,20.58,33365924.96986105,0.20185567010309277,0.9744745216460364,Leverage,Bulk Procurement & Cost Negotiation
Product_1382,11457340.527530506,2.91,33340860.935113776,A,8006.527272907412,10075.425609975613,SUP_0012,10,89.29,6938,2.33,74237.0,154303.0,Category_019,2.91,10,1019,229.22,10093.0,10.709999999999994,33340860.935113776,0.10010309278350508,0.9737425094721516,Leverage,Bulk Procurement & Cost Negotiation
Product_1570,7325612.285456755,4.55,33331535.898828235,A,28067.480020907107,57383.214576659615,SUP_0024,6,31.63,15303,2.33,327504.0,495909.0,Category_019,4.55,6,2581,257.15,12127.0,68.37,33331535.898828235,0.6945360824742268,0.9734701654480643,Strategic,Long-Term Supplier Partnership
Product_1157,7325012.028927348,4.54,33255554.61133016,A,49161.15455655938,59429.048622024005,SUP_0027,6,52.79,2807,2.33,339181.0,634148.0,Category_006,4.54,6,3782,374.89,12158.0,47.21,33255554.61133016,0.4763917525773196,0.9712510802929062,Leverage,Bulk Procurement & Cost Negotiation
Product_1263,9077658.567848055,3.66,33224230.358323883,A,50998.081841843006,119882.53345031285,SUP_0018,12,65.46,7296,2.33,967615.0,1579592.0,Category_019,3.66,12,4378,264.27,17343.0,34.540000000000006,33224230.358323883,0.3457731958762887,0.9703362341889309,Leverage,Bulk Procurement & Cost Negotiation
Product_0931,2602951.256159242,12.76,33213658.028591923,A,15221.937170521882,12788.638225211376,SUP_0055,6,28.56,3406,2.33,72989.0,164321.0,Category_006,12.76,6,4142,364.83,7688.0,71.44,33213658.028591923,0.7261855670103092,0.9700274621118031,Strategic,Long-Term Supplier Partnership
Product_1520,1539241.5239347303,21.55,33170654.84079344,A,6810.803203251019,10859.135885250587,SUP_0073,6,99.0,921,2.33,61977.0,102842.0,Category_019,21.55,6,5030,413.84,6117.0,1.0,33170654.84079344,0.0,0.9687715247776205,Leverage,Bulk Procurement & Cost Negotiation
Product_1278,4470218.301045088,7.41,33124317.610744104,A,15467.883394619683,31661.53548252616,SUP_0032,9,67.22,2915,2.33,221315.0,360526.0,Category_019,7.41,9,921,341.64,4910.0,32.78,33124317.610744104,0.32762886597938146,0.9674182144729454,Leverage,Bulk Procurement & Cost Negotiation
Product_1403,4902434.373871732,6.75,33091432.023634188,A,9061.801060761056,31910.483743470148,SUP_0030,9,84.91,1749,2.33,223055.0,304612.0,Category_019,6.75,9,3106,403.0,8693.0,15.090000000000003,33091432.023634188,0.14525773195876293,0.9664577685450435,Leverage,Bulk Procurement & Cost Negotiation
Product_1360,8257923.445538783,4.0,33031693.782155134,A,11174.456624545039,30184.89350234126,SUP_0023,11,93.53,4761,2.33,233261.0,356181.0,Category_019,4.0,11,3742,327.33,13741.0,6.469999999999999,33031693.782155134,0.05639175257731958,0.9647130725912565,Leverage,Bulk Procurement & Cost Negotiation
Product_1355,2253746.963323821,14.65,33017393.012693975,A,8285.834423984636,13700.05163945371,SUP_0054,13,65.1,2222,2.33,115094.0,222810.0,Category_019,14.65,13,2999,290.26,6825.0,34.900000000000006,33017393.012693975,0.34948453608247426,0.9642954088971608,Leverage,Bulk Procurement & Cost Negotiation
Product_1245,11726152.807247123,2.81,32950489.388364416,A,293153.82018117805,450554.92774116463,SUP_0013,14,60.76,22029,2.33,3927966.0,8032120.0,Category_019,2.81,14,3398,245.67,18011.0,39.24,32950489.388364416,0.39422680412371136,0.9623414430660374,Leverage,Bulk Procurement & Cost Negotiation
