SKU,Annual_Demand,Unit_Cost,Annual_Consumption_Value,ABC_Category,Avg_Daily_Demand,Demand_Std_Dev,Supplier_ID,Lead_Time_Days,Supplier_Reliability,MOQ,Z_Value,Safety_Stock,Reorder_Point
Product_1359,56131008.49790945,0.61,34239915.18372476,A,21951.90007739908,65188.0543624767,SUP_0001,4,99.0,9637,2.33,303777.0,391585.0
Product_0083,29638746.773106664,1.15,34084558.78907266,A,81425.12849754578,219971.7750676826,SUP_0002,14,67.54,9336,2.33,1917728.0,3057680.0
Product_1451,11742165.57469688,2.89,33934858.51087398,A,18092.705045757903,28886.460935507268,SUP_0009,14,41.25,11638,2.33,251834.0,505132.0
Product_1480,11611219.457364557,2.92,33904760.815504506,A,41174.53708285304,161184.0236985625,SUP_0014,12,44.27,4057,2.33,1300974.0,1795069.0
Product_1248,30809329.17374824,1.1,33890262.09112307,A,29092.85096671222,76717.36139384037,SUP_0003,7,79.29,9755,2.33,472932.0,676582.0
Product_1286,13759338.9702649,2.46,33847973.86685166,A,10192.102940936964,17288.09410749133,SUP_0007,5,75.78,3914,2.33,90072.0,141033.0
Product_1274,10765858.886569563,3.14,33804796.90382843,A,9787.144442335966,17586.58562113319,SUP_0010,4,96.61,8473,2.33,81954.0,121103.0
Product_1287,12743214.02813543,2.65,33769517.174558885,A,10744.699855088895,16444.092456274986,SUP_0008,11,81.91,10084,2.33,127076.0,245268.0
Product_1378,10816252.910996443,3.12,33746709.0823089,A,6631.669473327065,9781.345251066243,SUP_0011,6,89.0,2382,2.33,55826.0,95617.0
Product_1264,9464792.378298085,3.56,33694660.86674118,A,15880.524124661217,58661.59530636047,SUP_0016,6,54.26,1620,2.33,334800.0,430084.0
Product_1241,13860075.321015397,2.43,33679983.030067414,A,16678.79100001853,69868.15910825667,SUP_0006,4,77.72,3691,2.33,325586.0,392302.0
Product_1016,8091277.50789476,4.16,33659714.4328422,A,10268.118664841066,50424.41482909088,SUP_0021,8,65.18,6397,2.33,332309.0,414454.0
Product_1341,10215680.355927264,3.29,33609588.3710007,A,37976.50689935786,83573.88242136447,SUP_0015,14,68.17,3980,2.33,728603.0,1260275.0
Product_1452,2690926.5028424114,12.46,33528944.225416448,A,3721.890045425189,5109.363619427429,SUP_0047,11,94.53,3004,2.33,39484.0,80425.0
Product_1166,3762219.4806252867,8.9,33483753.377565052,A,99005.7758059286,155187.76960592676,SUP_0036,11,23.59,10844,2.33,1199251.0,2288315.0
Product_1152,5994109.568480752,5.58,33447131.3921226,A,124877.28267668234,178727.6059475856,SUP_0028,7,33.59,3023,2.33,1101785.0,1975926.0
Product_1470,3607810.101911903,9.25,33372243.4426851,A,4219.6609379086585,21241.686380269664,SUP_0039,8,59.95,4433,2.33,139988.0,173746.0
