SKU,Annual_Demand,Unit_Cost,Annual_Consumption_Value,ABC_Category,Avg_Daily_Demand,Demand_Std_Dev,Supplier_ID,Lead_Time_Days,Supplier_Reliability,MOQ,Z_Value,Safety_Stock
Product_1359,56131008.49790945,0.61,34239915.18372476,A,21951.90007739908,65188.0543624767,SUP_0001,4,99.0,9637,2.33,303777.0
Product_0083,29638746.773106664,1.15,34084558.78907266,A,81425.12849754578,219971.7750676826,SUP_0002,14,67.54,9336,2.33,1917728.0
Product_1451,11742165.57469688,2.89,33934858.51087398,A,18092.705045757903,28886.460935507268,SUP_0009,14,41.25,11638,2.33,251834.0
Product_1480,11611219.457364557,2.92,33904760.815504506,A,41174.53708285304,161184.0236985625,SUP_0014,12,44.27,4057,2.33,1300974.0
Product_1248,30809329.17374824,1.1,33890262.09112307,A,29092.85096671222,76717.36139384037,SUP_0003,7,79.29,9755,2.33,472932.0
Product_1286,13759338.970264899,2.46,33847973.86685165,A,10192.102940936962,17288.09410749133,SUP_0007,5,75.78,3914,2.33,90072.0
Product_1274,10765858.886569563,3.14,33804796.90382843,A,9787.144442335966,17586.58562113319,SUP_0010,4,96.61,8473,2.33,81954.0
Product_1287,12743214.028135428,2.65,33769517.174558885,A,10744.699855088895,16444.092456274986,SUP_0008,11,81.91,10084,2.33,127076.0
Product_1378,10816252.91099644,3.12,33746709.082308896,A,6631.669473327063,9781.345251066243,SUP_0011,6,89.0,2382,2.33,55826.0
Product_1264,9464792.378298085,3.56,33694660.86674118,A,15880.524124661217,58661.59530636047,SUP_0016,6,54.26,1620,2.33,334800.0
Product_1241,13860075.321015397,2.43,33679983.030067414,A,16678.79100001853,69868.15910825667,SUP_0006,4,77.72,3691,2.33,325586.0
Product_1016,8091277.50789476,4.16,33659714.4328422,A,10268.118664841066,50424.41482909088,SUP_0021,8,65.18,6397,2.33,332309.0
Product_1341,10215680.355927262,3.29,33609588.37100069,A,37976.50689935785,83573.88242136447,SUP_0015,14,68.17,3980,2.33,728603.0
Product_1452,2690926.5028424114,12.46,33528944.225416448,A,3721.890045425189,5109.363619427428,SUP_0047,11,94.53,3004,2.33,39484.0
Product_1166,3762219.4806252867,8.9,33483753.377565052,A,99005.7758059286,155187.76960592676,SUP_0036,11,23.59,10844,2.33,1199251.0
Product_1152,5994109.568480752,5.58,33447131.3921226,A,124877.28267668234,178727.6059475856,SUP_0028,7,33.59,3023,2.33,1101785.0
Product_1470,3607810.101911903,9.25,33372243.4426851,A,4219.6609379086585,21241.686380269664,SUP_0039,8,59.95,4433,2.33,139988.0
Product_1295,16682962.48493052,2.0,33365924.96986104,A,10472.669482065612,15876.089714445849,SUP_0004,4,79.42,5564,2.33,73983.0
Product_1382,11457340.527530503,2.91,33340860.935113765,A,8006.5272729074095,10075.425609975613,SUP_0012,10,89.29,6938,2.33,74237.0
Product_1570,7325612.285456755,4.55,33331535.898828235,A,28067.480020907107,57383.214576659615,SUP_0024,6,31.63,15303,2.33,327504.0
Product_1157,7325012.028927348,4.54,33255554.61133016,A,49161.15455655938,59429.048622024005,SUP_0027,6,52.79,2807,2.33,339181.0
Product_1263,9077658.567848055,3.66,33224230.358323883,A,50998.081841843006,119882.53345031285,SUP_0018,12,65.46,7296,2.33,967615.0
Product_0931,2602951.2561592422,12.76,33213658.02859193,A,15221.937170521884,12788.638225211376,SUP_0055,6,28.56,3406,2.33,72989.0
Product_1520,1539241.52393473,21.55,33170654.840793435,A,6810.803203251018,10859.135885250587,SUP_0073,6,99.0,921,2.33,61977.0
Product_1278,4470218.301045088,7.41,33124317.610744104,A,15467.883394619683,31661.53548252616,SUP_0032,9,67.22,2915,2.33,221315.0
Product_1403,4902434.373871731,6.75,33091432.02363418,A,9061.801060761054,31910.483743470148,SUP_0030,9,84.91,1749,2.33,223055.0
Product_1360,8257923.445538782,4.0,33031693.782155126,A,11174.456624545035,30184.89350234126,SUP_0023,11,93.53,4761,2.33,233261.0
Product_1355,2253746.963323821,14.65,33017393.012693975,A,8285.834423984636,13700.05163945371,SUP_0054,13,65.1,2222,2.33,115094.0
Product_1245,11726152.807247123,2.81,32950489.388364416,A,293153.82018117805,450554.92774116463,SUP_0013,14,60.76,22029,2.33,3927966.0
Product_1817,1018841.7661081264,32.33,32939154.298275724,A,14765.822697219222,57327.58828029662,SUP_0107,11,62.01,1252,2.33,443013.0
Product_1432,13945579.13918226,2.36,32911566.76847013,A,28635.686117417372,135069.64861939193,SUP_0005,2,59.21,3877,2.33,445071.0
Product_1350,9190470.667077545,3.58,32901884.98813761,A,12729.183749414882,24015.11828457949,SUP_0020,5,68.25,4282,2.33,125120.0
Product_1574,4381364.405738989,7.49,32816419.39898503,A,45168.70521380401,60257.39190076649,SUP_0033,3,99.0,1619,2.33,243180.0
Product_1234,2811739.856480583,11.66,32784886.7265636,A,19941.417421848106,30317.099577557754,SUP_0046,5,71.73,2590,2.33,157954.0
Product_1393,3051058.292119174,10.74,32768366.057359926,A,7229.995952889038,12259.459312111352,SUP_0044,11,47.64,6482,2.33,94738.0
Product_1502,5540467.318507251,5.91,32744161.852377854,A,23778.829693164167,40995.8525419444,SUP_0026,4,59.72,6261,2.33,191041.0
Product_0982,823667.7357920791,39.68,32683135.7562297,A,3431.948899133663,13362.230528936017,SUP_0098,11,51.92,3124,2.33,103260.0
Product_1377,7055849.462509032,4.63,32668583.01141682,A,5529.6625881732225,8224.77729995485,SUP_0025,4,49.14,4409,2.33,38328.0
Product_1394,4141655.5736838155,7.87,32594829.36489163,A,21913.521553882623,41599.75486068043,SUP_0031,2,64.42,1986,2.33,137077.0
Product_1361,3535541.9097177326,9.21,32562340.98850032,A,19533.380716672556,26648.898437461783,SUP_0034,9,45.89,8984,2.33,186276.0
Product_1250,2298939.5119505064,14.15,32529994.094099667,A,2954.935105334841,7364.713239665417,SUP_0051,8,99.0,6451,2.33,48536.0
Product_0071,1733380.8456406693,18.75,32500890.85576255,A,11712.032740815333,23213.831780903973,SUP_0066,10,72.18,9719,2.33,171042.0
Product_1294,9778740.56825106,3.32,32465418.686593518,A,7724.123671604313,10967.815017503426,SUP_0017,8,99.0,5130,2.33,72281.0
Product_1453,9007178.273764368,3.6,32425841.785551727,A,6356.512543235263,9286.521878640882,SUP_0019,5,74.84,6271,2.33,48384.0
Product_1150,1853436.247280157,17.47,32379531.23998434,A,22602.881064392157,31545.28417110203,SUP_0068,9,45.88,4092,2.33,220502.0
Product_0033,5076766.187544433,6.37,32339000.614658043,A,7170.573711220951,20551.38060827618,SUP_0029,6,77.77,2453,2.33,117294.0
Product_0084,1640054.4806677343,19.7,32309073.269154366,A,74547.93093944246,99628.33266492751,SUP_0077,7,50.89,3486,2.33,614169.0
Product_1158,1796390.944014729,17.97,32281145.263944678,A,12740.361305069,23040.158721460975,SUP_0056,9,41.2,3897,2.33,161051.0
Product_0933,1946413.0830158426,16.56,32232600.654742353,A,15088.473511750717,12895.270970446438,SUP_0075,10,57.06,4808,2.33,95014.0
Product_1431,3871335.829553016,8.32,32209514.101881094,A,23181.651673970155,36036.65679570029,SUP_0037,4,86.12,14067,2.33,167931.0
